userid,rating,rating_number,category,address,city
City Tap House Logan Square,4.2,1600,Restaurant,2 Logan Square · In 2 LOGAN SQUARE,Philadelphia
Thanal Indian Tavern,4.5,708,Indian,1939 Arch St · Near the Academy of Natural Sciences of Drexel University,Philadelphia
Pera Turkish Cuisine,4.7,280,Turkish,944 N 2nd St,Philadelphia
La Chinesca,4.4,294,Mexican,1036 Spring Garden St,Philadelphia
Ruth's Chris Steak House,4.2,1200,Restaurant,1800 Market St · In Sonesta Philadelphia Rittenhouse Square,Philadelphia
The Lawn at LoveLuck,4.2,18,American,1599 John F Kennedy Blvd · In LOVE Park,Philadelphia
Alyan's Middle Eastern & Mediterranean Restaurant,4.8,1200,Middle Eastern,603 S 4th St,Philadelphia
Entree BYOB,4.5,284,American,1608 South St,Philadelphia
HIROKI,4.5,197,Sushi,"Corner of Lee &, Master St, Philadelphia, PA 19125, 1355 N Front St",Philadelphia
Penn's Corner Restaurant,4.4,61,Breakfast,1500 John F Kennedy Boulevard UNDERGROUND · In Two Penn Center Building,Philadelphia
Nouvelle,5.0,8,Restaurant,256 S 16th St,Philadelphia
Liberty Place SW,4.5,14,Restaurant,1600 Market St · In The Shops at Liberty Place,Philadelphia
Happy Lamb Hot Pot,4.5,549,Hot Pot,1017 Arch St · Near the Reading Terminal Market,Philadelphia
Juana Tamale,4.2,164,Mexican,1941 E Passyunk Ave,Philadelphia
Fiorella Pasta,4.8,442,Italian,817 Christian St,Philadelphia
Aqimero,4.2,422,Latin American,10 Ave Of The Arts · In the Ritz-Carlton Philadelphia,Philadelphia
Tattooed Mom,4.6,2200,Restaurant,530 South St,Philadelphia
Gran Caffe L'Aquila,4.6,2300,Italian,1716 Chestnut St,Philadelphia
Adelinas Restaurant & Bar,4.5,160,Italian,8235 Germantown Ave · In Chestnut Hill Hotel,Philadelphia
StrEATS of Philly Food Tours,5.0,133,Tour operator,1500 Market St # W-3110,Philadelphia
The Hall,3.7,3,Restaurant,2600 Benjamin Franklin Pkwy,Philadelphia
Down Home Diner,4.2,875,Breakfast,"Reading Terminal Market, 51 N 12th St · In the Reading Terminal Market",Philadelphia
Middle Child,4.8,707,Sandwich,248 S 11th St,Philadelphia
SUYA SUYA West African Grill,4.7,226,African,400 Fairmount Ave #2808,Philadelphia
Cantina la Martina,4.7,133,Restaurant,2800 D St.,Philadelphia
Jamaican D's Caribbean & American Restaurant,4.3,1900,Caribbean,1265 E Chelten Ave,Philadelphia
Jinwei,4.3,103,Chinese,925 Race St,Philadelphia
Alice Pizza and Restaurant (Locust Street),4.6,788,Pizza,235 S 15th St · In Vida Apartments,Philadelphia
m2o Burgers & Salads,4.3,199,Hamburger,701 S 5th St · In Sharp Clips,Philadelphia
Jezabel's,4.2,200,Argentinian,206-208 S 45th St,Philadelphia
Pizzeria Beddia,4.6,1100,Pizza,1313 N Lee St,Philadelphia
White Yak,4.7,418,Tibetan,6118 Ridge Ave,Philadelphia
eeva,4.7,86,Pizza,310 Master St,Philadelphia
Fine Italian Cuisine,1.0,1,Italian,282 S 17th St,Philadelphia
Square Pie,4.7,273,Pizza,801 E Passyunk Ave,Philadelphia
Kim's Restaurant,4.8,125,Korean BBQ,5955 N 5th St,Philadelphia
SPIN Philadelphia,4.5,602,Grill,211 S 15th St,Philadelphia
Hershel's East Side Deli,4.6,341,Sandwich,"Terminal Market, 1136 Arch Street, Reading · In the Reading Terminal Market",Philadelphia
K'Far Cafe Philadelphia,4.5,525,Cafe,110 S 19th St,Philadelphia
Famous 4th Street Delicatessen,4.6,1900,Restaurant,700 S 4th St,Philadelphia
Vernick Wine Shop & Tasting Menu,5.0,1,Restaurant,2029 Walnut St,Philadelphia
Crown Fried Chicken,3.4,150,Chicken,1101 Filbert St · In Hilton Garden Inn Philadelphia Center City,Philadelphia
LaScala's Pronto,4.1,394,Pizza,1347 South St,Philadelphia
Md Long Seafood,4.6,90,Seafood,525 Washington Ave,Philadelphia
Joe's Pizza Philly,4.4,355,Pizza,122 S 16th St,Philadelphia
Lark,4.7,191,Restaurant,"Bala Cynwyd, PA",Philadelphia
Grace & Proper,4.8,41,Bar,941 S 8th St,Philadelphia
Subway Restaurants,1.0,1,Sandwich,1515 Market St · In Temple University Center City Campus,Philadelphia
Biederman’s,4.9,59,Gourmet grocery store,824 Christian St,Philadelphia
Chili's Bar and Grill,1.0,1,American,2320 Oregon Ave · In Quartermaster Plaza,Philadelphia
Alma de Cuba,4.4,986,Restaurant,1623 Walnut St,Philadelphia
Messina Club,4.9,92,Bar,1533 S 10th St,Philadelphia
Càphê Roasters,4.8,163,Cafe,3400 J St G1,Philadelphia
Kayu,4.3,49,Salad,"Three Logan Square, 1717 Arch St · In Three Logan Square",Philadelphia
Wokworks City Hall Food Cart,4.2,97,Vegan,"City Hall, 1500 John F Kennedy Blvd · In Two Penn Center Building",Philadelphia
